Date,Open,High,Low,Close,Adj Close,Volume,Return
2011-01-01,78.5,79.400002,77.25,78.019997,52.395947,474400,
2011-02-01,77.339996,78.910004,76,78.82,52.933182,602000,1.03%
2011-03-01,78.169998,80,77.160004,78.220001,52.756104,897600,-0.33%
2011-04-01,77.879997,80.059998,77,80.050003,54.199394,459000,2.74%
2011-05-01,79.599998,82.150002,79.57,82.089996,55.821102,644300,2.99%
2011-06-01,82.190002,82.699997,79.309998,79.959999,54.596409,1189700,-2.19%
2011-07-01,80.019997,83.120003,79.449997,83.080002,56.94944,841900,4.31%
2011-08-01,82.849998,89.660004,82.760002,86.949997,59.845455,1556900,5.09%
2011-09-01,86.699997,94.25,86,91.769997,63.425579,1400600,5.98%
2011-10-01,92.230003,93.68,87.75,91.269997,63.321053,1406900,-0.16%
2011-11-01,92.220001,92.900002,89.68,90.160004,62.759563,1593800,-0.89%
2011-12-01,89.43,93.82,88.589996,92.010002,64.275475,1501900,2.42%
2012-01-01,91.239998,92.900002,89.510002,92.849998,65.904907,2442800,2.54%
2012-02-01,92.169998,92.550003,89.699997,91.860001,65.202209,1274700,-1.07%
2012-03-01,90.870003,91.82,87.230003,88.910004,63.312859,1112300,-2.90%
2012-04-01,89.019997,91.879997,87.620003,91.489998,65.36853,1158900,3.25%
2012-05-01,91.5,96.190002,90.82,95.669998,68.719917,1411100,5.13%
2012-06-01,95.940002,96.980003,93.75,94.949997,68.441315,1332000,-0.41%
2012-07-01,94.940002,99.660004,94.860001,98.720001,71.390892,1314800,4.31%
2012-08-01,98.040001,99,93.5,97.720001,70.900696,1601200,-0.69%
2012-09-01,97.309998,97.540001,92.860001,96.669998,70.366966,1776000,-0.75%
2012-10-01,96.349998,97.419998,95.190002,96.82,70.708466,1746500,0.49%
2012-11-01,96.379997,98,95.57,96.889999,70.987198,1372000,0.39%
2012-12-01,96.110001,97.540001,93.139999,93.870003,68.774567,1221700,-3.12%
2013-01-01,92.93,93.809998,90.959999,91.139999,67.975426,2757500,-1.16%
2013-02-01,91.589996,93.099998,90.330002,92.459999,68.959908,1341200,1.45%
2013-03-01,92.400002,92.57,90.110001,91.650002,68.589081,1027500,-0.54%
2013-04-01,91.230003,95.089996,91.019997,94.739998,71.123131,1805800,3.69%
2013-05-01,94.660004,95.25,88.629997,89.010002,67.189522,1637100,-5.53%
2013-06-01,88.629997,89.720001,82.5,85.160004,64.49099,2260200,-4.02%
2013-07-01,84.849998,85.709999,82.970001,84.309998,64.071098,2077700,-0.65%
2013-08-01,83.529999,84.080002,80.360001,82.849998,63.191643,1385000,-1.37%
2013-09-01,82.110001,83.559998,80.360001,83.019997,63.567856,2811900,0.60%
2013-10-01,82.529999,85.129997,82.089996,84.620003,65.044197,1283300,2.32%
2013-11-01,84.099998,84.099998,81.449997,82.809998,63.902271,1875700,-1.76%
2013-12-01,82.5,83.269997,81.360001,81.650002,63.245583,1622100,-1.03%
2014-01-01,81.650002,85.760002,81.650002,85.699997,66.904236,1348800,5.78%
2014-02-01,85.550003,86.389999,84.43,86.239998,67.325798,2737100,0.63%
2014-03-01,86.120003,87.349998,84.220001,86.730003,67.962105,2356200,0.95%
2014-04-01,86.019997,88.599998,85.589996,88.480003,69.562508,1181600,2.35%
2014-05-01,88.120003,90.690002,88.019997,90.010002,71.03318,1513100,2.11%
2014-06-01,89.220001,90,88,89.889999,71.179802,1344300,0.21%
2014-07-01,89.190002,91.099998,87.790001,89.57,71.176292,1437800,0.00%
2014-08-01,89.269997,93,88.870003,92.82,74.013306,13564600,3.99%
2014-09-01,91.669998,91.790001,88.510002,90.230003,72.19313,5418500,-2.46%
2014-10-01,90.480003,96.370003,90.370003,91.669998,73.567184,3612100,1.90%
2014-11-01,91.400002,93,90.669998,92.919998,74.813286,1919600,1.69%
2014-12-01,92.889999,94.830002,91.400002,94.269997,76.150253,3895900,1.79%
2015-01-01,94.400002,100.489998,94.309998,100.449997,81.686737,3154500,7.27%
2015-02-01,99.559998,100.18,93.809998,95.970001,78.043587,3183600,-4.46%
2015-03-01,95.879997,97.699997,92.389999,96.32,78.569885,2573400,0.67%
2015-04-01,96.620003,97.25,92.830002,93.550003,76.532845,2549300,-2.59%
2015-05-01,92.580002,92.830002,89.080002,91.029999,74.782585,8709600,-2.29%
2015-06-01,90.699997,90.790001,86.410004,87.610001,72.202972,2944100,-3.45%
2015-07-01,86.709999,90,86.379997,89.989998,74.417877,1679800,3.07%
2015-08-01,89.550003,91.830002,88.440002,88.68,73.588219,7524300,-1.11%
2015-09-01,88.620003,89.75,87.160004,89.339996,74.399651,5485800,1.10%
2015-10-01,89.410004,90.849998,88.790001,89.660004,74.871284,2746800,0.63%
2015-11-01,88.830002,89.190002,86.830002,88.589996,74.215355,4021700,-0.88%
2015-12-01,88.459999,89.339996,86.300003,86.809998,72.969162,2943600,-1.68%
2016-01-01,87.529999,89.279999,86.809998,88.839996,75.311356,2565100,3.21%
2016-02-01,88.699997,91.489998,88.029999,90.410004,76.642273,3478700,1.77%
2016-03-01,90.410004,93.139999,89.150002,93.040001,79.140747,3902600,3.26%
2016-04-01,93.010002,94.489998,92.18,93.779999,80.019394,4080100,1.11%
2016-05-01,93.309998,94.860001,92.800003,93.550003,80.079643,3132500,0.08%
2016-06-01,93.730003,98.660004,93.269997,98.050003,84.192055,4640800,5.14%
2016-07-01,99.160004,101.239998,97.959999,100.440002,86.514259,9040100,2.76%
2016-08-01,99.379997,100.25,97.660004,99.790001,86.202332,3476200,-0.36%
2016-09-01,98.93,100.169998,95.830002,98.599998,85.461113,6864600,-0.86%
2016-10-01,98.389999,98.519997,94.760002,95.300003,82.850754,3526200,-3.05%
2016-11-01,94.699997,95.339996,88.25,89.019997,77.614677,4879100,-6.32%
2016-12-01,87.830002,89.440002,87.220001,89.129997,77.950226,6697500,0.43%
2017-01-01,88.550003,91.449997,88.5,89.629997,79.055069,4956100,1.42%
2017-02-01,88.949997,91.150002,88.620003,90.949997,80.219315,2526000,1.47%
2017-03-01,89.559998,90.769997,87.370003,90.040001,79.673569,4453600,-0.68%
2017-04-01,89.800003,92.489998,89.800003,91.169998,80.912804,2894400,1.56%
2017-05-01,90.779999,92.809998,89.900002,92.610001,82.457245,2516600,1.91%
2017-06-01,92.029999,95.120003,92,93.139999,83.191971,3810700,0.89%
2017-07-01,93.160004,94.339996,91.849998,93.220001,83.52858,3808600,0.40%
2017-08-01,92.709999,95.010002,92.660004,94.860001,85.255318,3411200,2.07%
2017-09-01,94.209999,95.360001,93.080002,93.769997,84.538651,3929600,-0.84%
2017-10-01,93.769997,94.339996,92.449997,93.5,84.560005,4327300,0.03%
2017-11-01,93.480003,94.959999,92.699997,93.910004,85.192436,3215200,0.75%
2017-12-01,94.269997,95.980003,93.339996,95.080002,86.524971,2719400,1.56%
2018-01-01,94.879997,94.879997,92.440002,93.019997,85.171654,4542200,-1.56%
2018-02-01,92.650002,92.730003,88.690002,89.830002,82.250809,7357400,-3.43%
2018-03-01,89.379997,91.199997,88.790001,90.910004,83.488312,4203900,1.50%
2018-04-01,90.480003,91.339996,87.459999,88.620003,81.632431,2294100,-2.22%
2018-05-01,88.260002,89.980003,86.510002,89.459999,82.806969,4110400,1.44%
2018-06-01,88.519997,89.050003,87.330002,88.639999,82.313599,4058800,-0.60%
2018-07-01,88.440002,89.889999,87.879997,88.720001,82.660469,1714400,0.42%
2018-08-01,87.800003,89.779999,87.629997,88.849998,83.051407,1873500,0.47%
2018-09-01,88.349998,88.470001,86.540001,87.43,81.994904,2062200,-1.27%
2018-10-01,87.110001,87.260002,84.209999,84.339996,79.357773,2509100,-3.22%
2018-11-01,83.769997,84.790001,83.459999,84.389999,79.660866,2978000,0.38%
2018-12-01,84.160004,88.25,84.160004,87.510002,82.891029,12169300,4.05%
2019-01-01,87.589996,89.279999,86.769997,89.139999,84.977432,7038500,2.52%
2019-02-01,88.769997,89.339996,87.949997,88.150002,84.033684,13656900,-1.11%
2019-03-01,87.739998,92.209999,87.389999,92.139999,88.119087,5099500,4.86%
2019-04-01,91.419998,91.660004,90.279999,91.290001,87.597343,11256600,-0.59%
2019-05-01,91.290001,94.82,90.650002,94.800003,91.260529,7049000,4.18%
2019-06-01,94.809998,97.209999,94.059998,97.059998,93.71846,8091000,2.69%
2019-07-01,97.080002,98.040001,95.269997,97.269997,94.203445,7367200,0.52%
2019-08-01,97.900002,106.07,97.580002,104.989998,101.977394,8494700,8.25%
2019-09-01,104.790001,105.470001,98.830002,102.669998,100.020111,5726100,-1.92%
2019-10-01,101.610001,104.18,100.059998,102.089996,99.726738,8072900,-0.29%
2019-11-01,101.940002,102.660004,98.639999,102.129997,100.038635,8864900,0.31%
2019-12-01,100.809998,102.629997,100.220001,100.339996,98.557541,8603600,-1.48%